剧本编号,剧本名字,叙事模式ID,叙事模式名称,英文名称,场次数,五阶段强度曲线,五阶段主冲突,峰值阶段,峰值强度(%),强度振幅,场次波动次数,局部峰值数,判定依据,置信度,关键证据场次
05007006,斩黄袍,M01,后置高潮型,The Classic Build-up,12,54-41.4-62-70.7-64,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,高潮,70.67,29.27,3,1,峰值位于高潮(70.7)，较开端提高16.7点。,0.86,"开端:第一场(骨肉伦理,54%)；发展:第六场(公案审判,62%)；转折:第七场(骨肉伦理,62%)；高潮:第十场(敌我攻守,79%)；结局:第十二场(骨肉伦理,76%)"
05009002,雄州关,M07,平缓铺陈型,The Low-tension Episodic,11,54-52.5-46-48.3-53,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,开端,54.0,8.0,8,3,五阶段振幅8.0点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,54%)；发展:第三场(敌我攻守,67%)；转折:第六场(敌我攻守,46%)；高潮:第七场(敌我攻守,64%)；结局:第十场(骨肉伦理,55%)"
05010001,焚烟墩,M07,平缓铺陈型,The Low-tension Episodic,10,57-51.3-56-68-56,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,高潮,68.0,16.67,4,1,五阶段振幅16.7点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,57%)；发展:第四场(敌我攻守,73%)；转折:第五场(敌我攻守,56%)；高潮:第七场(敌我攻守,73%)；结局:第十场(敌我攻守,56%)"
05010002,青草坡,M06,结尾爆发型,The Final Reveal,6,66-68-74-49-84,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,结局,84.0,35.0,2,1,峰值出现在结局(84.0)，高于前四阶段平均19.8点。,0.83,"开端:第一场(敌我攻守,66%)；发展:第二场(骨肉伦理,68%)；转折:第三场(骨肉伦理,74%)；高潮:第五场(骨肉伦理,76%)；结局:第六场(敌我攻守,84%)"
05011001,游武庙,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(君臣撕裂,82%)；发展:第二场(君臣撕裂,82%)；转折:第二场(君臣撕裂,82%)；高潮:第二场(君臣撕裂,82%)；结局:第二场(君臣撕裂,82%)"
05011002,鬼断家私,M03,多峰波折型,The Rollercoaster,11,62-40.8-73-46.3-66.5,开端:忠义抉择；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,73.0,32.25,5,2,五阶段显著峰值3个、阶段方向切换3次，振幅32.2点。,0.86,"开端:第一场(忠义抉择,62%)；发展:第三场(骨肉伦理,74%)；转折:第六场(骨肉伦理,73%)；高潮:第九场(骨肉伦理,63%)；结局:第十一场(骨肉伦理,69%)"
05011003,三进士,M04,单峰转折型,The Early Climax / Anti-climax,5,37-40-85-75-78,开端:骨肉伦理；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,85.0,48.0,1,1,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(骨肉伦理,37%)；发展:第二场(敌我攻守,40%)；转折:第三场(骨肉伦理,85%)；高潮:第四场(骨肉伦理,75%)；结局:第五场(骨肉伦理,78%)"
05012001,吴越春秋,M05,开端爆发型,In Medias Res,25,72-62.5-60-54.2-52.7,开端:敌我攻守；发展:敌我攻守；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,72.0,19.33,11,4,峰值出现在开端(72.0)，高于后续平均14.6点。,0.82,"开端:第一场：告庙兴师(敌我攻守,72%)；发展:第七场：夫差许成(君臣撕裂,71%)；转折:第十四场：拘囚石室(君臣撕裂,60%)；高潮:第十九场：子胥谏言(敌我攻守,69%)；结局:第二十三场：文台召宴(君臣撕裂,58%)"
05012002,吴越春秋,M06,结尾爆发型,The Final Reveal,29,70-50.6-63-70.4-74.7,开端:骨肉伦理；发展:骨肉伦理；转折:君臣撕裂；高潮:骨肉伦理；结局:敌我攻守,结局,74.67,24.1,16,5,峰值出现在结局(74.7)，高于前四阶段平均11.2点。,0.83,"开端:第一场：卧薪尝胆(骨肉伦理,70%)；发展:第十四场：使齐寄子(骨肉伦理,77%)；转折:第十六场：馆娃听乐(君臣撕裂,63%)；高潮:第二十六场：斩将破城(敌我攻守,85%)；结局:第二十七场：夫差自刎(敌我攻守,87%)"
05013002,珍珠塔,M06,结尾爆发型,The Final Reveal,6,63-61-62-43-75,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:情爱婚恋；结局:骨肉伦理,结局,75.0,32.0,1,0,峰值出现在结局(75.0)，高于前四阶段平均17.8点。,0.83,"开端:第一场(骨肉伦理,63%)；发展:第二场(骨肉伦理,61%)；转折:第三场(骨肉伦理,62%)；高潮:第四场(情爱婚恋,56%)；结局:第六场(骨肉伦理,75%)"
05013003,珍珠塔,M07,平缓铺陈型,The Low-tension Episodic,10,54-62.3-58-60.5-62,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,发展,62.33,8.33,5,3,五阶段振幅8.3点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,54%)；发展:第二场(骨肉伦理,82%)；转折:第五场(骨肉伦理,58%)；高潮:第九场(骨肉伦理,83%)；结局:第十场(敌我攻守,62%)"
05013004,珍珠塔,M07,平缓铺陈型,The Low-tension Episodic,11,59-58-66-51-50,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,66.0,16.0,7,3,五阶段振幅16.0点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,59%)；发展:第三场(敌我攻守,74%)；转折:第六场(骨肉伦理,66%)；高潮:第八场(骨肉伦理,63%)；结局:第十一场(骨肉伦理,52%)"
05013005,珍珠塔,M04,单峰转折型,The Early Climax / Anti-climax,9,56-67.3-40-54.3-45,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,67.33,27.33,5,2,峰值提前在发展(67.3)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,56%)；发展:第二场(骨肉伦理,78%)；转折:第五场(骨肉伦理,40%)；高潮:第六场(骨肉伦理,67%)；结局:第九场(骨肉伦理,45%)"
05014002,破石兆,M04,单峰转折型,The Early Climax / Anti-climax,3,42-42-66-42-66,开端:敌我攻守；发展:君臣撕裂；转折:敌我攻守；高潮:君臣撕裂；结局:敌我攻守,转折,66.0,24.0,0,0,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(敌我攻守,42%)；发展:第二场(君臣撕裂,42%)；转折:第三场(敌我攻守,66%)；高潮:第二场(君臣撕裂,42%)；结局:第三场(敌我攻守,66%)"
05014003,荆襄府,M08,独场凝缩型,The Condensed One-scene,1,58-58-58-58-58,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,58.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(敌我攻守,58%)；发展:第一场(敌我攻守,58%)；转折:第一场(敌我攻守,58%)；高潮:第一场(敌我攻守,58%)；结局:第一场(敌我攻守,58%)"
05014004,张松骂曹,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(敌我攻守,82%)；发展:第二场(敌我攻守,82%)；转折:第二场(敌我攻守,82%)；高潮:第二场(敌我攻守,82%)；结局:第二场(敌我攻守,82%)"
05014005,左慈骂曹,M08,独场凝缩型,The Condensed One-scene,1,59-59-59-59-59,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,59.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,59%)；发展:独场(敌我攻守,59%)；转折:独场(敌我攻守,59%)；高潮:独场(敌我攻守,59%)；结局:独场(敌我攻守,59%)"
05014006,柴桑关,M05,开端爆发型,In Medias Res,12,66-56.2-11-52.7-55,开端:敌我攻守；发展:敌我攻守；转折:压抑铺垫；高潮:敌我攻守；结局:情爱婚恋,开端,66.0,55.0,9,3,峰值出现在开端(66.0)，高于后续平均22.3点。,0.82,"开端:第一场(敌我攻守,66%)；发展:第三场(敌我攻守,64%)；转折:第七场(压抑铺垫,11%)；高潮:第十场(敌我攻守,76%)；结局:第十二场(敌我攻守,67%)"
05014008,截江夺斗,M03,多峰波折型,The Rollercoaster,8,37-58-38-18.3-81,开端:关系转折；发展:骨肉伦理；转折:骨肉伦理；高潮:余波收束；结局:骨肉伦理,结局,81.0,62.67,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅62.7点。,0.86,"开端:第一场(关系转折,37%)；发展:第二场(骨肉伦理,65%)；转折:第四场(骨肉伦理,38%)；高潮:第五场(骨肉伦理,19%)；结局:第八场(骨肉伦理,81%)"
05014009,天水关,M02,渐强推进型,The Snowball / Crescendo,7,34-51-52-69-67,开端:君臣撕裂；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,高潮,69.0,35.0,1,1,整体斜率为正(33.0)，阶段回落0次，峰值靠后。,0.86,"开端:第一场(君臣撕裂,34%)；发展:第三场(敌我攻守,55%)；转折:第四场(敌我攻守,52%)；高潮:第六场(敌我攻守,79%)；结局:第七场(敌我攻守,67%)"
05015002,恶虎关,M06,结尾爆发型,The Final Reveal,10,12-48-65-65.2-80,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,结局,80.0,68.0,4,1,峰值出现在结局(80.0)，高于前四阶段平均32.4点。,0.83,"开端:第一场(敌我攻守,12%)；发展:第二场(骨肉伦理,61%)；转折:第五场(敌我攻守,65%)；高潮:第八场(敌我攻守,73%)；结局:第十场(骨肉伦理,80%)"
05016001,双义节,M06,结尾爆发型,The Final Reveal,21,56-61.8-44-65.7-80,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,结局,80.0,36.0,9,3,峰值出现在结局(80.0)，高于前四阶段平均23.1点。,0.83,"开端:第一场(骨肉伦理,56%)；发展:第九场(骨肉伦理,73%)；转折:第十一场(骨肉伦理,44%)；高潮:第十二场(敌我攻守,78%)；结局:第十九场(敌我攻守,81%)"
05016002,敬德装疯,M03,多峰波折型,The Rollercoaster,5,45-68-90-24-75,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:身份揭晓；结局:敌我攻守,转折,90.0,66.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅66.0点。,0.86,"开端:第一场(敌我攻守,45%)；发展:第二场(敌我攻守,68%)；转折:第三场(骨肉伦理,90%)；高潮:第四场(身份揭晓,24%)；结局:第五场(敌我攻守,75%)"
05016003,康郎山,M06,结尾爆发型,The Final Reveal,16,52-57-56-62-78,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,78.0,26.0,7,2,峰值出现在结局(78.0)，高于前四阶段平均21.2点。,0.83,"开端:第一场(敌我攻守,52%)；发展:第七场(敌我攻守,77%)；转折:第九场(敌我攻守,56%)；高潮:第十二场(敌我攻守,77%)；结局:第十六场(敌我攻守,79%)"
05017001,战北原,M06,结尾爆发型,The Final Reveal,10,54-63.3-62-44.8-74,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,74.0,29.25,8,4,峰值出现在结局(74.0)，高于前四阶段平均18.0点。,0.83,"开端:第一场(敌我攻守,54%)；发展:第四场(敌我攻守,90%)；转折:第五场(敌我攻守,62%)；高潮:第六场(敌我攻守,85%)；结局:第十场(敌我攻守,74%)"
05018001,五彩舆,M01,后置高潮型,The Classic Build-up,15,42-46.5-50-63-44.5,开端:情爱婚恋；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,高潮,63.0,21.0,7,2,峰值位于高潮(63.0)，较开端提高21.0点。,0.86,"开端:第一场(情爱婚恋,42%)；发展:第三场(骨肉伦理,59%)；转折:第八场(骨肉伦理,50%)；高潮:第九场(骨肉伦理,69%)；结局:第十四场(骨肉伦理,57%)"
05018002,五彩舆,M06,结尾爆发型,The Final Reveal,8,26-53.5-73-64.7-76,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,76.0,50.0,2,1,峰值出现在结局(76.0)，高于前四阶段平均21.7点。,0.83,"开端:第一场(骨肉伦理,26%)；发展:第三场(骨肉伦理,80%)；转折:第四场(骨肉伦理,73%)；高潮:第五场(骨肉伦理,72%)；结局:第八场(骨肉伦理,76%)"
05018003,五彩舆,M01,后置高潮型,The Classic Build-up,11,52-48-49-67.3-54.5,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:情爱婚恋,高潮,67.33,19.33,4,2,峰值位于高潮(67.3)，较开端提高15.3点。,0.86,"开端:第一场(敌我攻守,52%)；发展:第四场(骨肉伦理,55%)；转折:第六场(敌我攻守,49%)；高潮:第九场(敌我攻守,72%)；结局:第十场(情爱婚恋,63%)"
05018004,五彩舆,M07,平缓铺陈型,The Low-tension Episodic,10,65-51.3-54-67.5-64,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,高潮,67.5,16.17,6,3,五阶段振幅16.2点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,65%)；发展:第四场(骨肉伦理,62%)；转折:第五场(骨肉伦理,54%)；高潮:第七场(敌我攻守,79%)；结局:第十场(骨肉伦理,64%)"
05018005,五彩舆,M06,结尾爆发型,The Final Reveal,9,37-81-76-52.3-84,开端:神怪显灵；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,结局,84.0,47.0,4,0,峰值出现在结局(84.0)，高于前四阶段平均22.4点。,0.83,"开端:第一场(神怪显灵,37%)；发展:第二场(敌我攻守,83%)；转折:第五场(敌我攻守,76%)；高潮:第六场(敌我攻守,78%)；结局:第九场(骨肉伦理,84%)"
05019001,五彩舆,M04,单峰转折型,The Early Climax / Anti-climax,9,46-43.3-78-70.3-68,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,78.0,34.67,5,3,峰值提前在转折(78.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,46%)；发展:第三场(敌我攻守,59%)；转折:第五场(骨肉伦理,78%)；高潮:第九场(骨肉伦理,75%)；结局:第十一场(骨肉伦理,68%)"
05019002,五彩舆,M06,结尾爆发型,The Final Reveal,9,70-72.7-46-68.7-75,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,结局,75.0,29.0,3,1,峰值出现在结局(75.0)，高于前四阶段平均10.7点。,0.83,"开端:第一场(敌我攻守,70%)；发展:第四场(骨肉伦理,89%)；转折:第五场(骨肉伦理,46%)；高潮:第七场(骨肉伦理,72%)；结局:第九场(敌我攻守,75%)"
05019003,五彩舆,M04,单峰转折型,The Early Climax / Anti-climax,10,35-55.3-57-50-51,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,转折,57.0,22.0,5,3,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(敌我攻守,35%)；发展:第四场(骨肉伦理,63%)；转折:第五场(敌我攻守,57%)；高潮:第七场(敌我攻守,60%)；结局:第十场(骨肉伦理,51%)"
05019004,五彩舆,M07,平缓铺陈型,The Low-tension Episodic,12,58-58.8-63-55.3-53.5,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:情爱婚恋；结局:敌我攻守,转折,63.0,9.5,7,1,五阶段振幅9.5点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,58%)；发展:第三场(敌我攻守,73%)；转折:第七场(骨肉伦理,63%)；高潮:第九场(敌我攻守,63%)；结局:第十二场(敌我攻守,75%)"
05019005,五彩舆,M03,多峰波折型,The Rollercoaster,10,31-74.3-18-74-44,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:敌我攻守,发展,74.33,56.33,5,3,五阶段显著峰值2个、阶段方向切换3次，振幅56.3点。,0.86,"开端:第一场(敌我攻守,31%)；发展:第二场(敌我攻守,82%)；转折:第五场(敌我攻守,18%)；高潮:第九场(骨肉伦理,86%)；结局:第十场(敌我攻守,44%)"
05020001,香莲帕,M04,单峰转折型,The Early Climax / Anti-climax,37,45-51.8-63-54.9-48.5,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:君臣撕裂,转折,63.0,18.0,18,6,峰值提前在转折(63.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,45%)；发展:第八场(敌我攻守,64%)；转折:第二十场(骨肉伦理,63%)；高潮:第二十六场(骨肉伦理,71%)；结局:第三十七场(君臣撕裂,70%)"
05021001,纪母骂刘邦,M03,多峰波折型,The Rollercoaster,3,47-77-57-77-57,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,77.0,30.0,1,1,五阶段显著峰值2个、阶段方向切换3次，振幅30.0点。,0.86,"开端:第一场(君臣撕裂,47%)；发展:第二场(骨肉伦理,77%)；转折:第三场(骨肉伦理,57%)；高潮:第二场(骨肉伦理,77%)；结局:第三场(骨肉伦理,57%)"
05021002,喜封侯,M03,多峰波折型,The Rollercoaster,3,37-55-80-55-80,开端:谋略试探；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:敌我攻守,转折,80.0,43.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅43.0点。,0.86,"开端:第一场(谋略试探,37%)；发展:第二场(骨肉伦理,55%)；转折:第三场(敌我攻守,80%)；高潮:第二场(骨肉伦理,55%)；结局:第三场(敌我攻守,80%)"
05022001,龙凤帕,M06,结尾爆发型,The Final Reveal,34,46-42.2-40-53.7-59,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,59.0,19.0,20,5,峰值出现在结局(59.0)，高于前四阶段平均13.5点。,0.83,"开端:第一场(敌我攻守,46%)；发展:第八场(敌我攻守,60%)；转折:第十九场(骨肉伦理,40%)；高潮:第二十六场(骨肉伦理,73%)；结局:第三十三场(骨肉伦理,68%)"
05024001,鞭打督邮,M06,结尾爆发型,The Final Reveal,9,37-64.7-63-68.7-83,开端:情绪爆发；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,83.0,46.0,4,1,峰值出现在结局(83.0)，高于前四阶段平均24.7点。,0.83,"开端:第一场(情绪爆发,37%)；发展:第二场(骨肉伦理,86%)；转折:第五场(敌我攻守,63%)；高潮:第八场(骨肉伦理,83%)；结局:第九场(敌我攻守,83%)"
05024002,虎牢关,M03,多峰波折型,The Rollercoaster,6,43-29-63-60-78,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,78.0,49.0,3,0,五阶段显著峰值2个、阶段方向切换1次，振幅49.0点。,0.86,"开端:第一场(敌我攻守,43%)；发展:第二场(敌我攻守,29%)；转折:第三场(敌我攻守,63%)；高潮:第四场(敌我攻守,67%)；结局:第六场(敌我攻守,78%)"
05024003,骂董卓,M03,多峰波折型,The Rollercoaster,3,30-73-62-73-62,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,73.0,43.0,1,1,五阶段显著峰值2个、阶段方向切换3次，振幅43.0点。,0.86,"开端:第一场(君臣撕裂,30%)；发展:第二场(骨肉伦理,73%)；转折:第三场(骨肉伦理,62%)；高潮:第二场(骨肉伦理,73%)；结局:第三场(骨肉伦理,62%)"
05024008,曹营见母,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,62%)；发展:第一场(骨肉伦理,62%)；转折:第一场(骨肉伦理,62%)；高潮:第一场(骨肉伦理,62%)；结局:第一场(骨肉伦理,62%)"
05024012,柴桑口,M01,后置高潮型,The Classic Build-up,6,51-60-13-74.5-62,开端:敌我攻守；发展:敌我攻守；转折:君臣撕裂；高潮:敌我攻守；结局:敌我攻守,高潮,74.5,61.5,3,2,峰值位于高潮(74.5)，较开端提高23.5点。,0.86,"开端:第一场(敌我攻守,51%)；发展:第二场(敌我攻守,60%)；转折:第三场(君臣撕裂,13%)；高潮:第五场(敌我攻守,80%)；结局:第六场(敌我攻守,62%)"
05024013,对算荐雏,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(敌我攻守,64%)；发展:第一场(敌我攻守,64%)；转折:第一场(敌我攻守,64%)；高潮:第一场(敌我攻守,64%)；结局:第一场(敌我攻守,64%)"
05025001,大闹御马监,M06,结尾爆发型,The Final Reveal,6,23-75-70-64-82,开端:骨肉伦理；发展:骨肉伦理；转折:神怪显灵；高潮:君臣撕裂；结局:神怪显灵,结局,82.0,59.0,2,0,峰值出现在结局(82.0)，高于前四阶段平均24.0点。,0.83,"开端:第一场(骨肉伦理,23%)；发展:第二场(骨肉伦理,75%)；转折:第三场(神怪显灵,70%)；高潮:第五场(君臣撕裂,68%)；结局:第六场(神怪显灵,82%)"
05025002,大闹蛇盘山鹰愁涧,M04,单峰转折型,The Early Climax / Anti-climax,5,73-75-42-43-75,开端:神怪显灵；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,75.0,33.0,1,0,主要峰值位于发展，呈提前爆点结构。,0.74,"开端:第一场(神怪显灵,73%)；发展:第二场(骨肉伦理,75%)；转折:第三场(骨肉伦理,42%)；高潮:第四场(骨肉伦理,43%)；结局:第五场(骨肉伦理,75%)"
05025003,高老庄,M01,后置高潮型,The Classic Build-up,10,56-40.7-62-66-65,开端:忠义抉择；发展:骨肉伦理；转折:忠义抉择；高潮:忠义抉择；结局:敌我攻守,高潮,66.0,25.33,4,2,峰值位于高潮(66.0)，较开端提高10.0点。,0.86,"开端:第一场(忠义抉择,56%)；发展:第三场(敌我攻守,50%)；转折:第五场(忠义抉择,62%)；高潮:第九场(骨肉伦理,77%)；结局:第十场(敌我攻守,65%)"
07002001,渡阴平,M07,平缓铺陈型,The Low-tension Episodic,18,69-64.8-63-59.5-55.5,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,69.0,13.5,6,2,五阶段振幅13.5点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,69%)；发展:第九场(敌我攻守,86%)；转折:第十场(敌我攻守,63%)；高潮:第十三场(敌我攻守,76%)；结局:第十七场(敌我攻守,68%)"
07004002,霸王遇虞姬,M07,平缓铺陈型,The Low-tension Episodic,22,53-47.7-52-59.1-64.3,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,64.33,16.63,13,6,五阶段振幅16.6点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,53%)；发展:第六场(敌我攻守,69%)；转折:第十二场(敌我攻守,52%)；高潮:第十五场(敌我攻守,76%)；结局:第二十二场(敌我攻守,72%)"
08002005,姚期,M04,单峰转折型,The Early Climax / Anti-climax,13,41-47-64-56.5-59.5,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,64.0,23.0,7,3,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(君臣撕裂,41%)；发展:第三场(骨肉伦理,55%)；转折:第七场(骨肉伦理,64%)；高潮:第九场(骨肉伦理,68%)；结局:第十二场(骨肉伦理,73%)"
08005002,击鼓骂曹,M03,多峰波折型,The Rollercoaster,4,7-71-50-50-81,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,81.0,74.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅74.0点。,0.86,"开端:第一场(骨肉伦理,7%)；发展:第二场(敌我攻守,71%)；转折:第三场(敌我攻守,50%)；高潮:第三场(敌我攻守,50%)；结局:第四场(敌我攻守,81%)"
08005004,鹦鹉洲,M07,平缓铺陈型,The Low-tension Episodic,3,62-52-59-52-59,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,62.0,10.0,1,0,五阶段振幅10.0点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,62%)；发展:第二场(骨肉伦理,52%)；转折:第三场(骨肉伦理,59%)；高潮:第二场(骨肉伦理,52%)；结局:第三场(骨肉伦理,59%)"
08005006,双蛇斗,M03,多峰波折型,The Rollercoaster,5,40-37-52-42-72,开端:神怪显灵；发展:神怪显灵；转折:神怪显灵；高潮:肢体冲突；结局:神怪显灵,结局,72.0,35.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅35.0点。,0.86,"开端:第一场(神怪显灵,40%)；发展:第二场(神怪显灵,37%)；转折:第三场(神怪显灵,52%)；高潮:第四场(肢体冲突,42%)；结局:第五场(神怪显灵,72%)"
09001002,宇宙锋,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,82%)；发展:第一场(骨肉伦理,82%)；转折:第一场(骨肉伦理,82%)；高潮:第一场(骨肉伦理,82%)；结局:第一场(骨肉伦理,82%)"
09002002,奇双会,M08,独场凝缩型,The Condensed One-scene,1,55-55-55-55-55,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,55.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,55%)；发展:独场(骨肉伦理,55%)；转折:独场(骨肉伦理,55%)；高潮:独场(骨肉伦理,55%)；结局:独场(骨肉伦理,55%)"
09003003,卧龙吊孝,M04,单峰转折型,The Early Climax / Anti-climax,3,32-56-61-56-61,开端:敌我攻守；发展:关系转折；转折:敌我攻守；高潮:关系转折；结局:敌我攻守,转折,61.0,29.0,0,0,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(敌我攻守,32%)；发展:第二场(关系转折,56%)；转折:第三场(敌我攻守,61%)；高潮:第二场(关系转折,56%)；结局:第三场(敌我攻守,61%)"
